pop,W,t0,t1,base_cv,cv_th,vr_th,cv,vr,drift,pv,stat_adapt,alpha_s,alpha_t,opt_bin_ms,branching,r2,gamma_fit,gamma_pred,gamma_dev,n_av,score
MO,180.0,1700.0,1880.0,0.2618651526899179,0.3142381832279015,57.83974610469683,0.34019717445694064,16.118704739960496,-0.00870619092841315,0.539538387156805,False,1.3558164198901927,1.4729169603651404,32000.0,1.1572142386402395,0.9065758825275393,1.3557402646717727,1.329103812890607,0.020040911419278298,624,2
ORB,180.0,730.0,910.0,0.17069679220821177,0.3,23.769981091056522,0.18426099734814386,6.9581268272309655,0.04860670194003528,0.008267568551543158,False,1.183080188299001,1.2969084084182327,32000.0,1.3735484704298724,0.9379216392611522,1.173094312863907,1.621739693283093,0.27664450853449624,180,0
CTXsp,180.0,1360.0,1540.0,0.187279383971494,0.3,8.927131339015329,0.18826402124459907,8.576075939577239,0.04598236331569666,0.11833545670211906,True,1.231685483279183,1.461901775355555,32000.0,1.2484024281195636,0.9000002418245856,1.464063565316765,1.9936586825293638,0.2656398117960187,554,3
VIS,180.0,3630.0,3810.0,0.21817333364589903,0.3,21.85152442334696,0.25159352074584274,26.64479089615932,0.03874048264292167,0.006606200987116368,False,1.2159975703215906,1.3765051180731427,32000.0,1.200658875486672,0.9603777955910092,1.4251938199326173,1.7430988576055668,0.18237923585679153,255,1
CA1,180.0,3960.0,4140.0,0.3431579960430762,0.4117895952516914,103.23385169581539,0.38872010115499633,10.169660717406927,-0.00952145796590241,0.8050207639418638,True,1.3333267436676368,1.4792605633926068,32000.0,1.1908432198000247,0.9295376188665606,1.3444463733530023,1.4378101142417843,0.0649346808483236,400,3
DG,180.0,4290.0,4470.0,0.1050552113460002,0.3,10.746952746702277,0.10289093069167743,12.585503166783955,-0.00042328042328042005,0.884977866653353,False,1.709873540843333,2.399992365305048,2000.0,0.03566032033847084,0.9696913164097849,1.0602275158785543,1.9721714992248491,0.4624060248841083,3195,2
VPM,180.0,4930.0,5110.0,0.20777727706327886,0.3,22.50944284599458,0.2604357977556473,10.830219763140711,-0.036030016945049634,0.1265662105278179,True,1.1761699262265644,1.2510837338340761,32000.0,1.2606093846230446,0.9678756529189296,1.1581850251263386,1.4252360729899405,0.18737320288516637,66,3
VPM,180.0,5020.0,5200.0,0.20777727706327886,0.3,22.50944284599458,0.19498733652936368,7.290928255922895,0.018693502092194905,0.2346409435463684,True,1.1936559582158783,1.2794640729238442,32000.0,1.2866262827744337,0.9643882667210925,1.1359338303353554,1.4430956604614826,0.21284925077517103,96,3
VPM,300.0,4930.0,5230.0,0.20777727706327886,0.3,22.50944284599458,0.20777727706327886,12.314157472897671,-0.00911388393741335,0.37834631415717523,True,1.1890302441310776,1.2778344525305667,32000.0,1.2628890272584714,0.9633865575329137,1.1530167646807188,1.4697883600991932,0.21552191051308647,157,3
