pop,w0,w1,alpha_s,alpha_t,opt_bin,br,gamma_fit,gamma_pred,r2,n_av
MO,0.0,300.0,,,,,,,,0
MO,300.0,600.0,,,,,,,,0
MO,600.0,900.0,,,,,,,,0
MO,900.0,1200.0,,,,,,,,0
MO,1200.0,1500.0,,,,,,,,0
MO,2400.0,2700.0,,,,,,,,0
MO,2700.0,3000.0,,,,,,,,0
MO,3900.0,4200.0,,,,,,,,0
MO,0.0,600.0,,,,,,,,0
MO,600.0,1200.0,,,,,,,,0
MO,2400.0,3000.0,,,,,,,,0
MO,0.0,1200.0,,,,,,,,0
ORB,0.0,300.0,,,,,,,,0
ORB,1200.0,1500.0,,,,,,,,0
ORB,1500.0,1800.0,,,,,,,,0
ORB,1800.0,2100.0,,,,,,,,0
ORB,2100.0,2400.0,,,,,,,,0
ORB,2400.0,2700.0,,,,,,,,0
ORB,2700.0,3000.0,,,,,,,,0
ORB,3000.0,3300.0,,,,,,,,0
ORB,3300.0,3600.0,,,,,,,,0
ORB,3600.0,3900.0,,,,,,,,0
ORB,3900.0,4200.0,,,,,,,,0
ORB,4200.0,4500.0,,,,,,,,0
ORB,4500.0,4800.0,,,,,,,,0
ORB,4800.0,5100.0,,,,,,,,0
ORB,1200.0,1800.0,,,,,,,,0
ORB,1800.0,2400.0,,,,,,,,0
ORB,2400.0,3000.0,,,,,,,,0
ORB,3000.0,3600.0,,,,,,,,0
ORB,3600.0,4200.0,,,,,,,,0
ORB,4200.0,4800.0,,,,,,,,0
ORB,1200.0,2400.0,,,,,,,,0
ORB,2400.0,3600.0,,,,,,,,0
ORB,3600.0,4800.0,,,,,,,,0
CTXsp,0.0,300.0,,,,,,,,0
CTXsp,300.0,600.0,,,,,,,,0
CTXsp,600.0,900.0,,,,,,,,0
CTXsp,900.0,1200.0,,,,,,,,0
CTXsp,1800.0,2100.0,,,,,,,,0
CTXsp,2100.0,2400.0,,,,,,,,0
CTXsp,2400.0,2700.0,,,,,,,,0
CTXsp,2700.0,3000.0,,,,,,,,0
CTXsp,3000.0,3300.0,,,,,,,,0
CTXsp,3300.0,3600.0,,,,,,,,0
CTXsp,3600.0,3900.0,,,,,,,,0
CTXsp,3900.0,4200.0,,,,,,,,0
CTXsp,4200.0,4500.0,,,,,,,,0
CTXsp,4500.0,4800.0,,,,,,,,0
CTXsp,4800.0,5100.0,,,,,,,,0
CTXsp,0.0,600.0,,,,,,,,0
CTXsp,600.0,1200.0,,,,,,,,0
CTXsp,1800.0,2400.0,,,,,,,,0
CTXsp,2400.0,3000.0,,,,,,,,0
CTXsp,3000.0,3600.0,,,,,,,,0
CTXsp,3600.0,4200.0,,,,,,,,0
CTXsp,4200.0,4800.0,,,,,,,,0
CTXsp,0.0,1200.0,,,,,,,,0
CTXsp,2400.0,3600.0,,,,,,,,0
CTXsp,3600.0,4800.0,,,,,,,,0
VIS,0.0,300.0,,,,,,,,0
VIS,300.0,600.0,,,,,,,,0
VIS,600.0,900.0,,,,,,,,0
VIS,900.0,1200.0,,,,,,,,0
VIS,1200.0,1500.0,,,,,,,,0
VIS,1500.0,1800.0,,,,,,,,0
VIS,1800.0,2100.0,,,,,,,,0
VIS,3000.0,3300.0,,,,,,,,0
VIS,4500.0,4800.0,,,,,,,,0
VIS,4800.0,5100.0,,,,,,,,0
VIS,0.0,600.0,,,,,,,,0
VIS,600.0,1200.0,,,,,,,,0
VIS,1200.0,1800.0,,,,,,,,0
VIS,0.0,1200.0,,,,,,,,0
CA1,0.0,300.0,,,,,,,,0
CA1,300.0,600.0,,,,,,,,0
CA1,600.0,900.0,,,,,,,,0
CA1,900.0,1200.0,,,,,,,,0
CA1,1200.0,1500.0,,,,,,,,0
CA1,1500.0,1800.0,,,,,,,,0
CA1,1800.0,2100.0,,,,,,,,0
CA1,2100.0,2400.0,,,,,,,,0
CA1,2400.0,2700.0,,,,,,,,0
CA1,2700.0,3000.0,,,,,,,,0
CA1,3000.0,3300.0,,,,,,,,0
CA1,3300.0,3600.0,,,,,,,,0
CA1,4800.0,5100.0,,,,,,,,0
CA1,0.0,600.0,,,,,,,,0
CA1,600.0,1200.0,,,,,,,,0
CA1,1200.0,1800.0,,,,,,,,0
CA1,1800.0,2400.0,,,,,,,,0
CA1,2400.0,3000.0,,,,,,,,0
CA1,3000.0,3600.0,,,,,,,,0
CA1,0.0,1200.0,,,,,,,,0
CA1,1200.0,2400.0,,,,,,,,0
CA1,2400.0,3600.0,,,,,,,,0
DG,0.0,300.0,,,,,,,,0
DG,300.0,600.0,,,,,,,,0
DG,600.0,900.0,,,,,,,,0
DG,900.0,1200.0,,,,,,,,0
DG,1200.0,1500.0,,,,,,,,0
DG,1500.0,1800.0,,,,,,,,0
DG,1800.0,2100.0,,,,,,,,0
DG,2100.0,2400.0,,,,,,,,0
DG,2400.0,2700.0,,,,,,,,0
DG,2700.0,3000.0,,,,,,,,0
DG,3000.0,3300.0,,,,,,,,0
DG,3300.0,3600.0,,,,,,,,0
DG,3600.0,3900.0,,,,,,,,0
DG,3900.0,4200.0,,,,,,,,0
DG,0.0,600.0,,,,,,,,0
DG,600.0,1200.0,,,,,,,,0
DG,1200.0,1800.0,,,,,,,,0
DG,1800.0,2400.0,,,,,,,,0
DG,2400.0,3000.0,,,,,,,,0
DG,3000.0,3600.0,,,,,,,,0
DG,3600.0,4200.0,,,,,,,,0
DG,0.0,1200.0,,,,,,,,0
DG,1200.0,2400.0,,,,,,,,0
DG,2400.0,3600.0,,,,,,,,0
VPM,0.0,300.0,,,,,,,,0
VPM,1200.0,1500.0,,,,,,,,0
VPM,1500.0,1800.0,,,,,,,,0
VPM,1800.0,2100.0,,,,,,,,0
VPM,2100.0,2400.0,,,,,,,,0
VPM,2400.0,2700.0,,,,,,,,0
VPM,2700.0,3000.0,,,,,,,,0
VPM,3000.0,3300.0,,,,,,,,0
VPM,3300.0,3600.0,,,,,,,,0
VPM,3600.0,3900.0,,,,,,,,0
VPM,3900.0,4200.0,,,,,,,,0
VPM,4200.0,4500.0,,,,,,,,0
VPM,4500.0,4800.0,,,,,,,,0
VPM,1200.0,1800.0,,,,,,,,0
VPM,1800.0,2400.0,,,,,,,,0
VPM,2400.0,3000.0,,,,,,,,0
VPM,3000.0,3600.0,,,,,,,,0
VPM,3600.0,4200.0,,,,,,,,0
VPM,4200.0,4800.0,,,,,,,,0
VPM,1200.0,2400.0,,,,,,,,0
VPM,2400.0,3600.0,,,,,,,,0
VPM,3600.0,4800.0,,,,,,,,0
